              precision    recall  f1-score   support

           0       0.38      0.21      0.27        47
           1       0.00      0.00      0.00        10
           2       0.21      0.35      0.26        31
           3       0.51      0.70      0.59        67
           4       0.00      0.00      0.00         1
           5       0.00      0.00      0.00         9
           6       0.00      0.00      0.00         2
           7       0.00      0.00      0.00         2
           8       0.00      0.00      0.00         5
           9       0.11      0.33      0.17         3
          10       0.00      0.00      0.00         3

    accuracy                           0.38       180
   macro avg       0.11      0.15      0.12       180
weighted avg       0.33      0.38      0.34       180
