,precision,recall,f1-score,support
Anti-EU,0.0,0.0,0.0,10.0
Anti-Elites,0.0,0.0,0.0,3.0
Distrust in democratic system,0.0,0.0,0.0,9.0
Distrust in institutions,0.45454545454545453,0.16129032258064516,0.23809523809523805,31.0
Ethnicity-related,0.0,0.0,0.0,2.0
Gender-related,0.0,0.0,0.0,3.0
Geopolitics,0.0,0.0,0.0,5.0
Migration-related,0.0,0.0,0.0,2.0
None,0.45081967213114754,0.8208955223880597,0.582010582010582,67.0
Political hate and polarisation,0.44680851063829785,0.44680851063829785,0.44680851063829785,47.0
Religion-related,0.0,0.0,0.0,1.0
accuracy,0.45,0.45,0.45,0.45
macro avg,0.12292487611953637,0.1299085777824548,0.11517403006764707,180.0
weighted avg,0.36275459513164426,0.45,0.3743092298647854,180.0
