,precision,recall,f1-score,support
Anti-EU,0.0,0.0,0.0,10.0
Anti-Elites,0.0,0.0,0.0,3.0
Distrust in democratic system,0.0,0.0,0.0,9.0
Distrust in institutions,0.375,0.0967741935483871,0.15384615384615383,31.0
Ethnicity-related,0.0,0.0,0.0,2.0
Gender-related,0.0,0.0,0.0,3.0
Geopolitics,0.0,0.0,0.0,5.0
Migration-related,0.0,0.0,0.0,2.0
None,0.44360902255639095,0.8805970149253731,0.59,67.0
Political hate and polarisation,0.43243243243243246,0.3404255319148936,0.38095238095238093,47.0
Religion-related,0.0,0.0,0.0,1.0
accuracy,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335
macro avg,0.1137310413626203,0.1197997036716958,0.10225441225441224,180.0
weighted avg,0.342617382420014,0.43333333333333335,0.3455777370777371,180.0
